a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
4.0,60.0,3.0,400.0,70.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,98.20927516479829,32.736425054932766,0.9927949951090501,0.9976568130436572,0.9913803008292363,0.9913803008292363,0.9907625657340706,5,5,1.0,1
4.0,60.0,3.0,400.0,50.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,106.70340245773176,0.3037209941316909,233.4068049154635,98.20927516479829,32.736425054932766,0.992585265452028,0.9976571373256777,0.9913542025233665,0.9913542025637117,0.989975519395356,6,6,1.0,1
4.0,60.0,3.0,500.0,70.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,122.76159395599785,40.92053131866595,0.9925171079612385,0.99706707228949,0.9921435209983892,0.992143521026555,0.9887143175305197,6,6,1.0,1
4.0,60.0,3.0,500.0,50.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,122.76159395599785,40.92053131866595,0.9920045039262841,0.9970519619814147,0.9921115229912558,0.9921115229935583,0.9867430077389079,7,7,1.0,1
4.0,50.0,3.0,400.0,70.0,150.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,141.42135623730954,47.14045207910318,0.9918463700599198,0.9972391840644439,0.9919148617793612,0.9919148618108033,0.9863165725850711,6,6,1.0,1
4.0,60.0,3.0,600.0,70.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,147.31391274719743,49.10463758239914,0.9917053712086661,0.9956107140188263,0.9923928210389724,0.9923928210409702,0.9864251287358952,6,6,1.0,1
4.0,50.0,3.5,500.0,70.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,176.77669529663692,50.50762722761055,0.9910972668135378,0.9990410034587831,0.9906148978001128,0.9906148978383933,0.9841182681568619,8,7,0.875,1
4.0,50.0,3.0,500.0,70.0,150.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,176.77669529663692,58.92556509887898,0.9909178689127163,0.9955529466447584,0.9918706874571022,0.9918706874905351,0.9843771540584696,7,6,0.8571428571428571,1
4.0,60.0,3.5,800.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,213.4068049154635,2.429767953053527,441.0993241166413,196.41855032959657,56.119585808456165,0.9912614929014358,0.9984339979324928,0.9910381655846258,0.9910381655846258,0.9845356425039988,6,5,0.8333333333333334,1
4.5,50.0,3.0,500.0,50.0,150.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,124.15592317130054,41.38530772376684,0.9908572520952292,0.9955517530693277,0.9903313470533495,0.9903313470549346,0.9872145612033053,9,7,0.7777777777777778,1
4.5,60.0,3.0,600.0,50.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,160.05510368659765,1.025058355194457,340.1102073731953,103.46326930941711,34.487756436472374,0.991167216655061,0.9956118376231753,0.9901133595631679,0.9901133595707401,0.9888303098631608,8,6,0.75,1
4.5,60.0,3.0,500.0,50.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,86.21939109118092,28.739797030393643,0.9910947508532517,0.9970519619814147,0.9889399344751737,0.9889399344992725,0.9894471724571462,8,6,0.75,1
4.0,50.0,3.5,600.0,70.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,212.1320343559643,60.609152673132655,0.9910353378509432,0.998637040456658,0.9906085740226809,0.9906085740226809,0.9842871629017532,8,6,0.75,1
4.5,50.0,3.0,500.0,70.0,150.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,124.15592317130054,41.38530772376684,0.9909179775848758,0.9955529466447584,0.9903629622391756,0.9903629622550472,0.9873930392005219,8,6,0.75,1
4.0,60.0,3.5,500.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,122.76159395599785,35.074741130285105,0.991619558329181,0.9992939966936805,0.9894968836480793,0.9894968836878005,0.9881904692871637,7,5,0.7142857142857143,1
4.0,60.0,3.5,600.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,147.31391274719743,42.08968935634213,0.9915370838877838,0.9990716526469989,0.9905179513330115,0.9905179513330115,0.9860407802381133,7,5,0.7142857142857143,1
4.0,50.0,3.5,400.0,70.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,141.42135623730954,40.40610178208844,0.9913132381811944,0.9992443318280116,0.990024063749037,0.9900240637508841,0.9859604933968451,7,5,0.7142857142857143,1
4.5,60.0,3.0,600.0,70.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,103.46326930941711,34.487756436472374,0.9912340385737002,0.9956107140188263,0.9901450377845775,0.9901450377845775,0.9890353647068195,7,5,0.7142857142857143,1
4.5,60.0,3.0,500.0,70.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,86.21939109118092,28.739797030393643,0.9911906478659718,0.99706707228949,0.9889720694119086,0.9889720694249389,0.9897513803375498,7,5,0.7142857142857143,1
4.0,50.0,3.0,400.0,50.0,150.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,141.42135623730954,47.14045207910318,0.9910937698567817,0.9972396403580324,0.9918828392491028,0.991882839251528,0.9833697605684634,7,5,0.7142857142857143,1
4.0,60.0,3.5,400.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,98.20927516479829,28.059792904228082,0.9908454319639075,0.9985719758454243,0.9873935438559247,0.987393543859144,0.990022664295137,6,4,0.6666666666666666,1
4.5,60.0,3.0,800.0,70.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,213.4068049154635,2.429767953053527,441.0993241166413,137.9510257458895,45.98367524862983,0.9904984025121478,0.9933865339595984,0.9908223433237855,0.9908223433237855,0.9869623894414219,6,4,0.6666666666666666,1
4.5,60.0,3.0,400.0,70.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,68.97551287294475,22.991837624314915,0.9902581443950897,0.9976568130436572,0.9866041528259893,0.9866041528259893,0.9901674588847231,6,4,0.6666666666666666,1
4.0,50.0,3.5,500.0,50.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,176.77669529663692,50.50762722761055,0.9902435736628856,0.9990399370897034,0.9905842014214081,0.9905842014214081,0.9807659547190231,9,6,0.6666666666666666,1
4.5,50.0,3.0,400.0,50.0,150.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,99.32473853704043,33.10824617901348,0.9912314786926282,0.9972396403580324,0.9896117743902635,0.9896117743902635,0.9884627256319531,8,5,0.625,1
4.0,60.0,3.5,500.0,50.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,122.76159395599785,35.074741130285105,0.9911132877957949,0.9992941726538516,0.9894647885133936,0.9894647885133936,0.986229401502541,8,5,0.625,1
4.0,60.0,3.5,600.0,50.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,160.05510368659765,1.025058355194457,340.1102073731953,147.31391274719743,42.08968935634213,0.9907280037931422,0.9990720465978695,0.9904870798050586,0.9904870798362944,0.9828658089333464,8,5,0.625,1
4.0,50.0,3.5,400.0,50.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,141.42135623730954,40.40610178208844,0.9905658685929553,0.9992444917139571,0.9899989853053612,0.9899989853073399,0.9830210120451626,8,5,0.625,1
4.5,50.0,3.0,600.0,70.0,150.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,148.98710780556064,49.662369268520216,0.990170735939609,0.9940865825838432,0.9904280097019983,0.9904280097093983,0.985740341763196,8,5,0.625,1
4.0,50.0,3.0,500.0,50.0,150.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,176.77669529663692,58.92556509887898,0.9900675429411154,0.9955517530693277,0.9918398552000569,0.9918398552000569,0.9810387082950202,8,5,0.625,1
4.0,60.0,3.0,800.0,70.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,213.4068049154635,2.429767953053527,441.0993241166413,196.41855032959657,65.47285010986553,0.9905966404900267,0.9933865339595984,0.9921139675050012,0.9921139675050012,0.9847720929905059,5,3,0.6,1
4.5,50.0,3.0,400.0,70.0,150.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,99.32473853704043,33.10824617901348,0.9913029861352349,0.9972391840644439,0.9896440095095973,0.9896440095105405,0.9886847414563579,7,4,0.5714285714285714,1
4.0,60.0,3.0,600.0,50.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,160.05510368659765,1.025058355194457,340.1102073731953,147.31391274719743,49.10463758239914,0.990894202142035,0.9956118376231753,0.992361088691781,0.9923610887113603,0.9832427935418238,7,4,0.5714285714285714,1
