omega_cc_MHz,omega_t_MHz,T_tot_ns,V_ct_over_Omega_t,V_ct_over_Omega_cc,F_bar_basis
30.0,20.0,108.33333333333334,22.097086912079615,14.731391274719744,0.9955674021542615
30.0,30.0,83.33333333333334,14.731391274719744,14.731391274719744,0.9919956751885924
30.0,40.0,70.83333333333333,11.048543456039807,14.731391274719744,0.9855687059902493
30.0,50.0,63.33333333333332,8.838834764831846,14.731391274719744,0.9811392879399323
50.0,20.0,95.00000000000001,22.097086912079615,8.838834764831846,0.9976499688196492
50.0,30.0,70.0,14.731391274719744,8.838834764831846,0.9946279840083968
50.0,40.0,57.50000000000001,11.048543456039807,8.838834764831846,0.9884310506337356
50.0,50.0,50.0,8.838834764831846,8.838834764831846,0.9841033605483979
70.0,20.0,89.2857142857143,22.097086912079615,6.313453403451319,0.9982526253303385
70.0,30.0,64.28571428571429,14.731391274719744,6.313453403451319,0.9953801193652634
70.0,40.0,51.7857142857143,11.048543456039807,6.313453403451319,0.9892445124081157
70.0,50.0,44.28571428571429,8.838834764831846,6.313453403451319,0.9849431229319265
100.0,20.0,85.0,22.097086912079615,4.419417382415923,0.9985839135541018
100.0,30.0,60.00000000000001,14.731391274719744,4.419417382415923,0.995790216919225
100.0,40.0,47.50000000000001,11.048543456039807,4.419417382415923,0.989686540465962
100.0,50.0,40.0,8.838834764831846,4.419417382415923,0.9853988217469172
