cell,a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,V_ct_MHz,M_2,K,area,area_over_pi4,sigma_ns,T_f_ns,t_total_ns,F_bar,F_00,F_01,F_10,F_11
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.88,0.6911647876334789,0.8800183395434261,1.2070919245208989,169.018189493047,358.036378986094,0.9807719523163919,0.986553374850218,0.9843734612976263,0.9843734612976263,0.9677875118200971
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.89,0.6990189329474958,0.8900185479473288,1.248712180306122,170.93885073728617,361.8777014745724,0.9835851408055579,0.9878398962975747,0.9872222267260746,0.9872222267352437,0.9720562134633386
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.9,0.7068730782615125,0.9000187563512312,1.2912783107387178,172.85951198152534,365.71902396305074,0.9860650664923403,0.9893926630308835,0.9895212286877366,0.989521228698,0.9758251455527411
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.91,0.7147272235755293,0.9100189647551338,1.3348009436237123,174.78017322576454,369.5603464515291,0.9881800103785425,0.9910948822670589,0.9912679517518541,0.9912679517633498,0.979089255731907
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.92,0.7225813688895462,0.9200191731590365,1.3792907067661324,176.7008344700037,373.4016689400074,0.9899001757335051,0.9928323249987846,0.9924609435534353,0.9924609435639795,0.9818464908178206
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.93,0.730435514203563,0.9300193815629391,1.4247582279710054,178.62149571424288,377.24299142848577,0.9911962906656874,0.9944965154894829,0.9930976443285648,0.9930976443285648,0.9840933585161368
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.94,0.7382896595175797,0.9400195899668415,1.4712141350433565,180.54215695848202,381.08431391696405,0.992042964072696,0.9959859121180957,0.9931790562272771,0.9931790562272771,0.9858278317181337
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.95,0.7461438048315965,0.950019798370744,1.5186690557882137,182.4628182027212,384.9256364054424,0.9924219733534394,0.9972328902674503,0.9927036816515259,0.9927036816515259,0.9870476398432555
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.96,0.7539979501456134,0.9600200067746468,1.5671336180106035,184.38347944696037,388.7669588939208,0.9923233133510969,0.9981943024999144,0.9916731877685905,0.9916731877685905,0.9877525753672922
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.97,0.7618520954596302,0.9700202151785493,1.6166184495155522,186.30414069119954,392.6082813823991,0.9917404861987837,0.9988420026608067,0.990089225301479,0.9900892253128937,0.9879414915199556
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.98,0.769706240773647,0.9800204235824519,1.6671341781080864,188.22480193543873,396.44960387087747,0.9906743801240815,0.9991795186967752,0.9879518858509101,0.9879518858530866,0.9876142300955542
