omega_cc_MHz,omega_t_MHz,T_tot_ns,V_ct_over_Omega_t,V_ct_over_Omega_cc,F_bar_basis
100.0,15.0,110.0,29.46278254943949,4.419417382415923,0.9981250548994326
100.0,20.0,85.0,22.097086912079615,4.419417382415923,0.9985839135541018
100.0,25.0,69.99999999999999,17.677669529663692,4.419417382415923,0.9983398919584886
130.0,15.0,107.6923076923077,29.46278254943949,3.3995518326276333,0.9982249369034155
130.0,20.0,82.69230769230771,22.097086912079615,3.3995518326276333,0.9987183049894257
130.0,25.0,67.6923076923077,17.677669529663692,3.3995518326276333,0.9984935906282701
150.0,15.0,106.66666666666667,29.46278254943949,2.9462782549439486,0.9982621199152464
150.0,20.0,81.66666666666669,22.097086912079615,2.9462782549439486,0.9987679752470313
150.0,25.0,66.66666666666667,17.677669529663692,2.9462782549439486,0.9985504697773375
180.0,15.0,105.55555555555556,29.46278254943949,2.455231879119957,0.9982975071520466
180.0,20.0,80.55555555555556,22.097086912079615,2.455231879119957,0.9988147439543258
180.0,25.0,65.55555555555554,17.677669529663692,2.455231879119957,0.9986036588697547
220.0,15.0,104.54545454545455,29.46278254943949,2.0088260829163285,0.9983250105933772
220.0,20.0,79.54545454545456,22.097086912079615,2.0088260829163285,0.998850920928743
220.0,25.0,64.54545454545455,17.677669529663692,2.0088260829163285,0.9986446370557489
