a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11
4.0,40.0,3.0,400.0,30.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,240.08265552989639,3.4595719487812895,513.4986443931261,220.97086912079615,73.65695637359872,0.9887535522806419,0.9954631413674884,0.9905386154296025,0.9905386154296025,0.9784738368958737
4.0,40.0,3.0,400.0,50.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,240.08265552989639,3.4595719487812895,500.16531105979277,220.97086912079615,73.65695637359872,0.98981164156487,0.9954655764990108,0.9906123619643739,0.9906123620122347,0.9825562657838608
4.0,40.0,3.0,400.0,70.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,240.08265552989639,3.4595719487812895,494.45102534550705,220.97086912079615,73.65695637359872,0.9901268786311948,0.9954638995832905,0.9906445215055466,0.990644521549195,0.9837545718867466
4.0,40.0,3.0,500.0,30.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,300.1033194123704,6.756976462463451,633.5399721580741,276.21358640099515,92.0711954669984,0.987008304363844,0.9937146471167164,0.9896689982036764,0.9896689982036764,0.9749805739313071
4.0,40.0,3.0,500.0,50.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,300.1033194123704,6.756976462463451,620.2066388247408,276.21358640099515,92.0711954669984,0.9882569737533365,0.9937125023076443,0.9897395795854081,0.9897395796211872,0.9798362334991064
4.0,40.0,3.0,500.0,70.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,300.1033194123704,6.756976462463451,614.492353110455,276.21358640099515,92.0711954669984,0.9886006072512208,0.9937123737120945,0.9897733942546503,0.9897733942760207,0.9811432667621175
4.0,40.0,3.0,600.0,30.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,360.1239832948445,11.676055327136849,753.5812999230224,331.45630368119424,110.48543456039808,0.9824721530984803,0.9925379149045309,0.9885683040522051,0.9885683040522051,0.9602140893849807
4.0,40.0,3.0,600.0,50.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,360.1239832948445,11.676055327136849,740.2479665896891,331.45630368119424,110.48543456039808,0.9856142421941274,0.9925391543018529,0.988638637218914,0.988638637218914,0.972640540036829
4.0,40.0,3.0,600.0,70.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,360.1239832948445,11.676055327136849,734.5336808754033,331.45630368119424,110.48543456039808,0.9864969954637658,0.9925353010445899,0.9886706599798654,0.9886706599798654,0.9761113608507426
4.0,40.0,3.0,800.0,30.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,480.16531105979277,27.676575590250316,993.6639554529189,441.9417382415923,147.31391274719743,0.9824605198622477,0.9911972848237187,0.9860203707053572,0.9860203707053572,0.9666040532145576
