a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11
4.0,40.0,3.0,400.0,30.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,228.07852275340156,2.966150499586358,489.4903788401365,220.97086912079615,73.65695637359872,0.9857772896307793,0.9945661146980125,0.9886507886372764,0.9886507886760805,0.9712414665117475
4.0,40.0,3.0,400.0,50.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,228.07852275340156,2.966150499586358,476.1570455068032,220.97086912079615,73.65695637359872,0.9873478554156703,0.994566168307094,0.9887244663968636,0.9887244664385708,0.9773763205201527
4.0,40.0,3.0,400.0,70.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,228.07852275340156,2.966150499586358,470.44275979251745,220.97086912079615,73.65695637359872,0.9878070454149781,0.9945649036731192,0.9887565695885663,0.9887565696237863,0.9791501387744406
4.0,40.0,3.0,500.0,30.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,285.0981534417519,5.793262694504601,603.529640216837,276.21358640099515,92.0711954669984,0.9862491712498433,0.9961945498000866,0.9872423411793285,0.9872423411793285,0.9743174528406298
4.0,40.0,3.0,500.0,50.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,285.0981534417519,5.793262694504601,590.1963068835038,276.21358640099515,92.0711954669984,0.9869642327925991,0.9961936333283008,0.9873164042372522,0.9873164042392828,0.9770304893655608
4.0,40.0,3.0,500.0,70.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,285.0981534417519,5.793262694504601,584.482021169218,276.21358640099515,92.0711954669984,0.9871626199042542,0.9961936982068784,0.9873440952780128,0.9873440953028372,0.9777685908292886
4.0,40.0,3.0,600.0,30.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,342.1177841301023,10.010757936103953,717.5689015935379,331.45630368119424,110.48543456039808,0.9814962379858672,0.9968071848137401,0.9857615962225087,0.9857615962225087,0.9576545746847112
4.0,40.0,3.0,600.0,50.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,342.1177841301023,10.010757936103953,704.2355682602046,331.45630368119424,110.48543456039808,0.9844359441960651,0.9968063739388147,0.985832290972253,0.985832290972253,0.9692728209009397
4.0,40.0,3.0,600.0,70.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,342.1177841301023,10.010757936103953,698.5212825459188,331.45630368119424,110.48543456039808,0.9852558880821224,0.9968062891394267,0.9858642470612005,0.9858642470612005,0.972488769066662
4.0,40.0,3.0,800.0,30.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,456.15704550680306,23.729203996690863,945.6474243469395,441.9417382415923,147.31391274719743,0.98246733253301,0.9971848239598899,0.9827525294667858,0.9827525294667858,0.9671794472385786
4.0,40.0,3.0,800.0,50.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,456.15704550680306,23.729203996690863,932.3140910136062,441.9417382415923,147.31391274719743,0.9829943156384406,0.9971847300069776,0.9828269063417348,0.9828269063417348,0.9691387198633152
4.0,40.0,3.0,800.0,70.0,120.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,456.15704550680306,23.729203996690863,926.5998052993205,441.9417382415923,147.31391274719743,0.9831471681423071,0.997184719609608,0.9828589676965973,0.9828589676965973,0.9696860175664257
4.0,40.0,3.5,400.0,30.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,228.07852275340156,2.966150499586358,489.4903788401365,220.97086912079615,63.13453403451319,0.9871467654528291,0.99719761155949,0.9897101079847084,0.9897101079847084,0.9719692342824096
4.0,40.0,3.5,400.0,50.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,228.07852275340156,2.966150499586358,476.1570455068032,220.97086912079615,63.13453403451319,0.9887144952829712,0.9971984654165994,0.98978398217417,0.98978398217417,0.978091551366945
4.0,40.0,3.5,400.0,70.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,228.07852275340156,2.966150499586358,470.44275979251745,220.97086912079615,63.13453403451319,0.9891734786407533,0.997195581889142,0.9898161338790854,0.9898161339213807,0.979866064873405
4.0,40.0,3.5,500.0,30.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,285.0981534417519,5.793262694504601,603.529640216837,276.21358640099515,78.9181675431415,0.9873553846473693,0.9981893059802687,0.9881738675047169,0.9881738675530523,0.9748844975514392
4.0,40.0,3.5,500.0,50.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,285.0981534417519,5.793262694504601,590.1963068835038,276.21358640099515,78.9181675431415,0.988072944636736,0.9981890299319979,0.988247689779793,0.9882476897822376,0.9776073690529152
4.0,40.0,3.5,500.0,70.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,285.0981534417519,5.793262694504601,584.482021169218,276.21358640099515,78.9181675431415,0.9882754086857845,0.9981907680704597,0.988280042301664,0.988280042301664,0.9783507820693501
4.0,40.0,3.5,600.0,30.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,342.1177841301023,10.010757936103953,717.5689015935379,331.45630368119424,94.70180105176978,0.9824693695003519,0.9985832722278521,0.9865902503842006,0.9865902503842006,0.958113705005154
4.0,40.0,3.5,600.0,50.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,342.1177841301023,10.010757936103953,704.2355682602046,331.45630368119424,94.70180105176978,0.9854170430620532,0.9985829024501245,0.9866639131863681,0.9866639131863681,0.969757443425352
4.0,40.0,3.5,600.0,70.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,342.1177841301023,10.010757936103953,698.5212825459188,331.45630368119424,94.70180105176978,0.9862379918786037,0.9985828081435925,0.9866959261099486,0.9866959261099486,0.972977307150925
4.0,40.0,3.5,800.0,30.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,456.15704550680306,23.729203996690863,945.6474243469395,441.9417382415923,126.26906806902637,0.983309392113606,0.9988377044274155,0.9834268373040863,0.9834268373040863,0.9675461894188362
4.0,40.0,3.5,800.0,50.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,456.15704550680306,23.729203996690863,932.3140910136062,441.9417382415923,126.26906806902637,0.9838383668254852,0.9988376400924064,0.9835012698253406,0.9835012698253406,0.9695132875588532
4.0,40.0,3.5,800.0,70.0,140.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,456.15704550680306,23.729203996690863,926.5998052993205,441.9417382415923,126.26906806902637,0.9839917405448602,0.9988376024538748,0.9835333528151102,0.9835333528151102,0.9700626540953456
4.0,40.0,4.0,400.0,30.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,228.07852275340156,2.966150499586358,489.4903788401365,220.97086912079615,55.24271728019904,0.988387836904857,0.9996137559891307,0.9906304240280048,0.9906304240720549,0.9726767435302375
4.0,40.0,4.0,400.0,50.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,228.07852275340156,2.966150499586358,476.1570455068032,220.97086912079615,55.24271728019904,0.9899640339688578,0.9996137821878532,0.9907043685515731,0.9907043685515731,0.9788336165844319
4.0,40.0,4.0,400.0,70.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,228.07852275340156,2.966150499586358,470.44275979251745,220.97086912079615,55.24271728019904,0.9904248611200068,0.999613633031402,0.9907365424162334,0.990736542449972,0.9806127265824199
4.0,40.0,4.0,500.0,30.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,285.0981534417519,5.793262694504601,603.529640216837,276.21358640099515,69.05339660024879,0.9883246925874083,0.9996520503368227,0.9890642310924607,0.9890642310924607,0.9755182578278894
4.0,40.0,4.0,500.0,50.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,285.0981534417519,5.793262694504601,590.1963068835038,276.21358640099515,69.05339660024879,0.9890413288204746,0.9996520319407473,0.9891382081525553,0.9891382081556424,0.9782368670329535
4.0,40.0,4.0,500.0,70.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,285.0981534417519,5.793262694504601,584.482021169218,276.21358640099515,69.05339660024879,0.9892426449587077,0.999651967938936,0.9891706134506545,0.9891706134537596,0.9789773849914808
4.0,40.0,4.0,600.0,30.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,342.1177841301023,10.010757936103953,717.5689015935379,331.45630368119424,82.86407592029856,0.9832762314708193,0.999607321378442,0.9874258853340115,0.9874258853340115,0.9586458338368122
4.0,40.0,4.0,600.0,50.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,342.1177841301023,10.010757936103953,704.2355682602046,331.45630368119424,82.86407592029856,0.986222652884525,0.9996076717775266,0.987494412826013,0.987494412826013,0.9702941141085474
4.0,40.0,4.0,600.0,70.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,342.1177841301023,10.010757936103953,698.5212825459188,331.45630368119424,82.86407592029856,0.9870438862529063,0.9996076303380259,0.9875264519306892,0.9875264519306892,0.973515010812221
4.0,40.0,4.0,800.0,30.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,16.666666666666668,456.15704550680306,23.729203996690863,945.6474243469395,441.9417382415923,110.48543456039808,0.9839342722085649,0.9995058993692505,0.9841340867248014,0.9841340867248014,0.967963016015406
4.0,40.0,4.0,800.0,50.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,456.15704550680306,23.729203996690863,932.3140910136062,441.9417382415923,110.48543456039808,0.9844638172752036,0.9995058711683816,0.9842085719052207,0.9842085719052207,0.9699322541219912
4.0,40.0,4.0,800.0,70.0,160.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,456.15704550680306,23.729203996690863,926.5998052993205,441.9417382415923,110.48543456039808,0.9846173040274542,0.9995058415816235,0.984240695450848,0.984240695450848,0.9704819836264975
