omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11
50.0,2.8,400.0,50.0,140.0,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,141.42135623730954,50.50762722761055,0.9835251712447592,0.954908624164934,0.9954575402921659,0.9954575403206214,0.9882769802013155
50.0,2.8,400.0,60.0,140.0,8.333333333333334,153.65289953913367,0.9069060289413221,323.97246574493397,141.42135623730954,50.50762722761055,0.9839878568138114,0.9549051639026587,0.9954679904053716,0.9954679904474675,0.9901102824997476
50.0,2.8,400.0,70.0,140.0,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,141.42135623730954,50.50762722761055,0.9842500786420592,0.9548371120070106,0.9954765433187158,0.995476543319562,0.991210115922948
50.0,2.8,450.0,50.0,140.0,10.0,172.85951198152537,1.291278310738718,365.7190239630508,159.09902576697323,56.82108063106187,0.984269586136748,0.9593684161894461,0.9954774870480452,0.9954774870493304,0.9867549542601703
50.0,2.8,450.0,60.0,140.0,8.333333333333334,172.85951198152537,1.291278310738718,362.38569062971743,159.09902576697323,56.82108063106187,0.9848155444483374,0.9593705982029753,0.9954874763240038,0.9954874763615675,0.988916626904803
50.0,2.8,450.0,70.0,140.0,7.142857142857143,172.85951198152537,1.291278310738718,360.0047382487651,159.09902576697323,56.82108063106187,0.9851550404018194,0.9594132476004429,0.9954939007109702,0.9954939007109702,0.9902191125848945
50.0,2.8,500.0,50.0,140.0,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,176.77669529663692,63.13453403451319,0.9850182793633053,0.9626767310933124,0.9954384634212736,0.9954384634212736,0.9865194595173616
50.0,2.8,500.0,60.0,140.0,8.333333333333334,192.06612442391705,1.7713008377760187,400.7989155145008,176.77669529663692,63.13453403451319,0.9855465270390222,0.9626835166625736,0.9954495040658634,0.9954495040670498,0.9886035833606024
50.0,2.8,500.0,70.0,140.0,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,176.77669529663692,63.13453403451319,0.985861683279466,0.9626710521964259,0.9954565917750535,0.9954565918067058,0.9898624973396787
50.0,2.8,550.0,50.0,140.0,10.0,211.2727368663088,2.3576014150798823,442.5454737326176,194.4543648263006,69.44798743796451,0.9858361673463932,0.9651428433633895,0.9953585442175443,0.9953585442175443,0.9874847375870949
50.0,2.8,550.0,60.0,140.0,8.333333333333334,211.2727368663088,2.3576014150798823,439.21214039928424,194.4543648263006,69.44798743796451,0.9862510756305228,0.9651449463082036,0.9953679714025508,0.9953679714025508,0.9891234134087861
50.0,2.8,550.0,70.0,140.0,7.142857142857143,211.2727368663088,2.3576014150798823,436.8311880183319,194.4543648263006,69.44798743796451,0.9865039651122114,0.9651441220973913,0.9953754386094574,0.9953754386094574,0.9901208611325396
50.0,2.8,600.0,50.0,140.0,10.0,230.47934930870048,3.0608078476769607,480.95869861740096,212.1320343559643,75.76144084141583,0.9866338898415201,0.9670227797457389,0.9952424505807771,0.9952424505807771,0.9890278784587876
50.0,2.8,600.0,60.0,140.0,8.333333333333334,230.47934930870048,3.0608078476769607,477.62536528406764,212.1320343559643,75.76144084141583,0.9868985137944741,0.9670360020882891,0.9952531626988882,0.9952531626997605,0.9900517276909588
50.0,2.8,600.0,70.0,140.0,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,212.1320343559643,75.76144084141583,0.9870567306321874,0.9670297538816426,0.9952607294795436,0.9952607294815442,0.990675709686019
50.0,3.0,400.0,50.0,150.0,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,141.42135623730954,47.14045207910318,0.9939026733865135,0.9974758366213992,0.9949692583898819,0.994969258395162,0.9881963401396109
50.0,3.0,400.0,60.0,150.0,8.333333333333334,153.65289953913367,0.9069060289413221,323.97246574493397,141.42135623730954,47.14045207910318,0.9943674809540723,0.9974757446997125,0.9949793689850521,0.9949793690307485,0.9900354411007767
50.0,3.0,400.0,70.0,150.0,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,141.42135623730954,47.14045207910318,0.9946436844308905,0.9974700275466489,0.9949878740530995,0.9949878740539011,0.9911289620699122
50.0,3.0,450.0,50.0,150.0,10.0,172.85951198152537,1.291278310738718,365.7190239630508,159.09902576697323,53.03300858899107,0.9933706883038579,0.9966256285760826,0.9950789193081473,0.9950789193093914,0.9866992860218102
50.0,3.0,450.0,60.0,150.0,8.333333333333334,172.85951198152537,1.291278310738718,362.38569062971743,159.09902576697323,53.03300858899107,0.9939141320969733,0.9966258385386226,0.9950889262014899,0.995088926249568,0.9888528373982128
