a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,selectivity_ok,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11
3.5,70.0,3.5,600.0,70.0,245.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,117.591504749337,0.4065068349068206,249.46872378438832,161.5570916734898,46.15916904956851,0.9934146985591843,0.9993105054328928,0.9926036998249204,0.9926036998275736,0.9891408891513508
3.5,70.0,3.5,800.0,50.0,245.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,156.788672999116,0.9635717568161676,333.57734599823203,215.40945556465303,61.54555873275801,0.9852442798006943,0.998799382931796,0.9929905374945611,0.9929905374945611,0.9561966612818589
3.5,70.0,3.5,800.0,70.0,245.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,156.788672999116,0.9635717568161676,327.8630602839463,215.40945556465303,61.54555873275801,0.9894261062923951,0.9987993401352562,0.9930216959654745,0.9930216959654745,0.9728616931033753
3.75,50.0,2.5,400.0,50.0,125.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,171.6331481920059,68.65325927680236,0.9736765196345245,0.9268357091675892,0.993186602120168,0.9931866021535258,0.9814971650968152
3.75,50.0,2.5,400.0,70.0,125.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,171.6331481920059,68.65325927680236,0.9746354885735478,0.926740585546243,0.9932192367756634,0.9932192367774604,0.9853628951948246
3.75,50.0,2.5,500.0,50.0,125.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,214.5414352400074,85.81657409600295,0.9719964216748768,0.917335056004821,0.9927373102134548,0.9927373102161168,0.9851760102651146
3.75,50.0,2.5,500.0,70.0,125.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,214.5414352400074,85.81657409600295,0.9723688324030092,0.9173198780622204,0.9927659641922278,0.9927659642438331,0.9866235231137555
3.75,50.0,2.5,600.0,50.0,125.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,10.0,230.47934930870048,3.0608078476769607,480.95869861740096,257.44972228800884,102.97988891520355,0.9671983985711645,0.9121317950171319,0.9921201761584829,0.9921201761603451,0.9724214469486978
3.75,50.0,2.5,600.0,70.0,125.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,257.44972228800884,102.97988891520355,0.9689276002968679,0.9121190598967277,0.9921475270044374,0.9921475270260225,0.979296287260284
3.75,50.0,2.5,800.0,50.0,125.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,10.0,307.30579907826734,7.255248231530577,634.6115981565347,343.2662963840118,137.30651855360472,0.9672312683721973,0.9069308659984502,0.9906071277515417,0.9906071277515417,0.9807799519872555
