a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
4.0,50.0,4.0,400.0,70.0,200.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,145.970254562177,0.7775585565635659,306.22622341006826,141.42135623730954,35.355339059327385,0.9929683453954454,0.9993192724569298,0.9936594452113443,0.9936594452131646,0.985235218700343,6,6,1.0,1
5.0,60.0,3.5,800.0,70.0,210.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,7.142857142857143,202.73646466969032,2.0832222987492677,419.7586436250949,100.56629776875346,28.73322793392956,0.9929271462062506,0.9984445997314382,0.9932398409238888,0.9932398409238888,0.9867843032457864,7,7,1.0,1
5.0,60.0,3.0,600.0,50.0,180.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,10.0,152.05234850226776,0.8788594072848475,324.1046970045355,75.42472332656509,25.141574442188364,0.9929024562208898,0.9947397940080023,0.9942256907751073,0.9942256907751073,0.9884186493253423,8,8,1.0,1
4.0,60.0,3.5,400.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,101.36823233484517,0.26040278734365846,217.02217895540463,98.20927516479829,28.059792904228082,0.992894236111203,0.9924601128727752,0.9948014396016642,0.9948014396338904,0.9895139523364823,6,6,1.0,1
5.0,60.0,3.5,800.0,50.0,210.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,10.0,202.73646466969032,2.0832222987492677,425.47292933938064,100.56629776875346,28.73322793392956,0.992868038268725,0.9984439339528244,0.9932086534906754,0.993208653492577,0.9866109121388233,8,8,1.0,1
4.0,60.0,4.0,600.0,50.0,240.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,152.05234850226776,0.8788594072848475,324.1046970045355,147.31391274719743,36.82847818679936,0.9927401325037899,0.9996593070597517,0.994290296858854,0.9942902968986361,0.9827206291979178,7,7,1.0,1
4.0,60.0,3.5,400.0,50.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,101.36823233484517,0.26040278734365846,222.73646466969032,98.20927516479829,28.059792904228082,0.9927191263024706,0.9924643025295343,0.9947691297630125,0.9947691297905553,0.9888739431267801,7,7,1.0,1
5.0,60.0,3.5,800.0,30.0,210.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,16.666666666666668,202.73646466969032,2.0832222987492677,438.80626267271396,100.56629776875346,28.73322793392956,0.9926959142676339,0.9984441273232221,0.9931355814578717,0.9931355814578717,0.98606836683157,7,7,1.0,1
5.0,60.0,3.0,600.0,30.0,180.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,16.666666666666668,152.05234850226776,0.8788594072848475,337.43803033786884,75.42472332656509,25.141574442188364,0.9926855479764247,0.9947415016851564,0.9941497253785816,0.9941497253785816,0.9877012394633791,7,7,1.0,1
4.5,50.0,3.5,400.0,70.0,175.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,145.970254562177,0.7775585565635659,306.22622341006826,99.32473853704043,28.378496724868693,0.9925948339413293,0.9952232200912858,0.9935969216183417,0.9935969216421625,0.987962272413527,8,8,1.0,1
4.5,60.0,3.0,600.0,70.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,152.05234850226776,0.8788594072848475,318.3904112902498,103.46326930941711,34.487756436472374,0.9925713086208112,0.994737379147681,0.9940116143777649,0.9940116143913298,0.9875246265664692,7,7,1.0,1
5.0,60.0,3.0,500.0,70.0,180.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,7.142857142857143,126.71029041855644,0.5085991940305828,267.70629512282716,62.85393610547091,20.951312035156967,0.9925451339687397,0.9920146297109582,0.9940630072090153,0.9940630072151609,0.9900398917398244,7,7,1.0,1
4.5,50.0,3.5,400.0,50.0,175.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,145.970254562177,0.7775585565635659,311.940509124354,99.32473853704043,28.378496724868693,0.9925142424823605,0.9952144610156349,0.9935646682163071,0.9935646682423815,0.9877131724551184,9,9,1.0,1
4.5,60.0,3.0,600.0,50.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,152.05234850226776,0.8788594072848475,324.1046970045355,103.46326930941711,34.487756436472374,0.9924994349175047,0.9947397940080023,0.9939793751152424,0.9939793751241517,0.9872991954226228,8,8,1.0,1
4.5,60.0,3.0,500.0,70.0,180.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,126.71029041855644,0.5085991940305828,267.70629512282716,86.21939109118092,28.739797030393643,0.9924931974919395,0.9920146297109582,0.9946016842662446,0.9946016842680877,0.9887547917224675,7,7,1.0,1
5.0,60.0,3.0,500.0,50.0,180.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,10.0,126.71029041855644,0.5085991940305828,273.4205808371129,62.85393610547091,20.951312035156967,0.9924597662499017,0.9919851650364055,0.9940293680463017,0.994029368056593,0.9897951638603064,8,8,1.0,1
