cell,a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,V_ct_MHz,M_2,inv_M2,K_opt_emp,K_opt_pred_1minus1overM2,K_opt_residual,F_bar_at_K_opt
REV4_FINAL,5.0,50.0,3.5,500.0,50.0,226.27416997969527,25.859905140536604,0.038669902096139304,0.9529345541813969,0.9613300979038607,-0.00839554372246376,0.9924219733534394
CHAMPION,4.0,60.0,4.0,500.0,70.0,441.9417382415923,30.690398488999463,0.032583480477076106,0.9518305157083528,0.9674165195229238,-0.015586003814571092,0.9941608794892351
FASTEST,4.0,60.0,4.0,400.0,70.0,441.9417382415923,24.55231879119957,0.04072935059634513,0.9431785482765134,0.9592706494036549,-0.016092101127141545,0.9941865266070811
a4_lowOp,4.0,50.0,3.5,500.0,50.0,441.9417382415923,50.50762722761055,0.019798989873223326,0.9762749417437799,0.9802010101267766,-0.003926068382996695,0.9914740905751808
a45_r35,4.5,60.0,3.5,500.0,70.0,310.38980792825134,24.63411174033741,0.0405941164244432,0.9542713179630707,0.9594058835755568,-0.005134565612486042,0.9934476774138725
