omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
65.0,3.0,450.0,60.0,195.0,8.333333333333334,102.28373490031089,0.2675221478079449,221.23413646728847,94.14143536507291,31.380478455024303,0.9949246043870581,0.9979888940540851,0.9935904305137171,0.9935904305159196,0.9945286624645104,8,7,0.875,1
65.0,3.0,550.0,60.0,195.0,8.333333333333334,125.01345376704664,0.48843892830229735,266.69357420075994,115.06175433508912,38.35391811169637,0.9947734036058844,0.9971540212155836,0.9944998962963197,0.9944998962963197,0.9929398006153147,8,7,0.875,1
60.0,3.0,500.0,60.0,180.0,8.333333333333334,133.3792530721647,0.5932050666634587,283.42517281099606,122.76159395599785,40.92053131866595,0.9947033698958037,0.9972536191846131,0.9947331782945068,0.9947331782945068,0.9920935038095877,8,7,0.875,1
55.0,3.0,450.0,60.0,165.0,8.333333333333334,142.859100811178,0.7288929428558871,302.3848682890227,131.48679815452334,43.82893271817444,0.9945649252788515,0.9973633816437139,0.9948962764878837,0.9948962764889251,0.9911037664948839,8,7,0.875,1
60.0,3.0,450.0,70.0,180.0,7.142857142857143,120.04132776494822,0.43244649359766146,254.36836981561072,110.48543456039808,36.82847818679936,0.9951078078341917,0.9978453060998211,0.994408494186847,0.9944084941877198,0.9937689368623792,7,6,0.8571428571428571,1
65.0,3.0,500.0,70.0,195.0,7.142857142857143,113.64859433367876,0.3669713961700203,241.5829029530718,104.60159485008103,34.86719828336034,0.9950527744904493,0.9977355296056555,0.9941210034067505,0.9941210034067505,0.9942335615426405,7,6,0.8571428571428571,1
60.0,3.0,400.0,60.0,180.0,8.333333333333334,106.70340245773176,0.3037209941316909,230.07347158213017,98.20927516479829,32.736425054932766,0.9949964847587314,0.9978883790361863,0.9939313203585122,0.9939313203585122,0.9942349192817146,7,6,0.8571428571428571,1
65.0,3.0,450.0,70.0,195.0,7.142857142857143,102.28373490031089,0.2675221478079449,218.85318408633609,94.14143536507291,31.380478455024303,0.9949891405882141,0.9979885649532412,0.9935998498343892,0.9935998498343892,0.9947682977308369,7,6,0.8571428571428571,1
55.0,3.0,400.0,60.0,165.0,8.333333333333334,126.98586738771378,0.5119248103459729,270.6384014420942,116.87715391513184,38.95905130504395,0.9949352285250699,0.9979142704206537,0.994621363358717,0.994621363358717,0.992583916962192,7,6,0.8571428571428571,1
65.0,3.0,550.0,70.0,195.0,7.142857142857143,125.01345376704664,0.48843892830229735,264.3126218198076,115.06175433508912,38.35391811169637,0.99491625695121,0.9971419040691202,0.9945073657942378,0.994507365825976,0.9935083921155061,7,6,0.8571428571428571,1
60.0,3.0,500.0,70.0,180.0,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,122.76159395599785,40.92053131866595,0.99488981499096,0.9972510843845019,0.9947399813370564,0.9947399813707059,0.9928282128715756,7,6,0.8571428571428571,1
65.0,3.0,450.0,50.0,195.0,10.0,102.28373490031089,0.2675221478079449,224.56746980062178,94.14143536507291,31.380478455024303,0.9948206424106607,0.997986972696846,0.9935834639554764,0.9935834639566624,0.9941286690336583,7,6,0.8571428571428571,1
55.0,3.0,450.0,70.0,165.0,7.142857142857143,142.859100811178,0.7288929428558871,300.00391590807027,131.48679815452334,43.82893271817444,0.9947961154139788,0.9973622945670167,0.9949028095542056,0.9949028095941748,0.9920165479405181,7,6,0.8571428571428571,1
60.0,3.0,450.0,50.0,180.0,10.0,120.04132776494822,0.43244649359766146,260.08265552989644,110.48543456039808,36.82847818679936,0.9947758613635225,0.9978359723656453,0.9943892911516099,0.9943892911925595,0.9924888907442755,7,6,0.8571428571428571,1
