a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,selectivity_ok,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
3.75,50.0,3.5,500.0,70.0,175.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,214.5414352400074,61.297552925716396,0.9920967157021177,0.9990410034587831,0.9914974008587777,0.9914974009114665,0.9863510575794436,7,7,1.0,1
4.0,70.0,3.5,800.0,70.0,245.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,156.788672999116,0.9635717568161676,327.8630602839463,144.30750636460158,41.230716104171876,0.9916598867252282,0.9987993401352562,0.9906191206039543,0.9906191206039543,0.986601965557748,6,6,1.0,1
4.0,60.0,3.5,500.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,122.76159395599785,35.074741130285105,0.991619558329181,0.9992939966936805,0.9894968836480793,0.9894968836878005,0.9881904692871637,8,8,1.0,1
4.0,60.0,3.5,600.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,147.31391274719743,42.08968935634213,0.9915370838877838,0.9990716526469989,0.9905179513330115,0.9905179513330115,0.9860407802381133,8,8,1.0,1
4.0,50.0,3.5,400.0,70.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,141.42135623730954,40.40610178208844,0.9913132381811944,0.9992443318280116,0.990024063749037,0.9900240637508841,0.9859604933968451,6,6,1.0,1
4.0,50.0,3.5,500.0,70.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,176.77669529663692,50.50762722761055,0.9910972668135378,0.9990410034587831,0.9906148978001128,0.9906148978383933,0.9841182681568619,7,7,1.0,1
4.25,50.0,3.5,500.0,70.0,175.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,147.37987867596678,42.10853676456194,0.9910348595701786,0.9990410034587831,0.9893627105036846,0.9893627105371112,0.9863730137811353,7,7,1.0,1
4.0,70.0,3.5,800.0,50.0,245.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,10.0,156.788672999116,0.9635717568161676,333.57734599823203,144.30750636460158,41.230716104171876,0.9908777705053533,0.998799382931796,0.9905875903056227,0.9905875903056227,0.983536518478372,6,6,1.0,1
4.25,50.0,3.5,500.0,50.0,175.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,147.37987867596678,42.10853676456194,0.9907770601499231,0.9990399370897034,0.9893321374175874,0.989332137419827,0.9854040286725743,7,7,1.0,1
4.0,60.0,3.5,600.0,50.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,10.0,160.05510368659765,1.025058355194457,340.1102073731953,147.31391274719743,42.08968935634213,0.9907280037931422,0.9990720465978695,0.9904870798050586,0.9904870798362944,0.9828658089333464,8,8,1.0,1
4.0,50.0,3.5,400.0,50.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,141.42135623730954,40.40610178208844,0.9905658685929553,0.9992444917139571,0.9899989853053612,0.9899989853073399,0.9830210120451626,6,6,1.0,1
4.0,50.0,3.5,500.0,50.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,176.77669529663692,50.50762722761055,0.9902435736628856,0.9990399370897034,0.9905842014214081,0.9905842014214081,0.9807659547190231,7,7,1.0,1
4.0,60.0,3.0,500.0,70.0,180.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,122.76159395599785,40.92053131866595,0.9925171079612385,0.99706707228949,0.9921435209983892,0.992143521026555,0.9887143175305197,9,8,0.8888888888888888,1
